mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2913197994232178,0.020368600431042414,0.017802906036376954,0.0030237854599009686,,2,100,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7109004739336493,0.63,0.6766169154228856,0.6666666666666666,0.7029702970297029,0.6774308706105808,0.028770452707222813,1
0.5755879878997803,0.03905223405248047,0.030336809158325196,0.008192565004385763,,2,200,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.7019230769230769,0.6113989637305699,0.6798029556650246,0.6634615384615384,0.6934673366834171,0.6700107742927254,0.032070949539214015,2
0.31534757614135744,0.06863186289130888,0.018425559997558592,0.00663607307141783,,5,100,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.6568627450980392,0.5863874345549738,0.6428571428571429,0.6030150753768844,0.6243386243386243,0.6226922044451328,0.02562103437913341,3
0.48624672889709475,0.05960171647729313,0.028241872787475586,0.006053092969811501,,5,200,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.6600985221674877,0.5775401069518716,0.6288659793814433,0.5989847715736041,0.6096256684491979,0.6150230097047208,0.027981258038230632,6
0.2267591953277588,0.04752960025985768,0.015714025497436522,0.005074197284760203,8,2,100,"{'model__max_depth': 8, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.5384615384615384,0.45614035087719296,0.5056179775280899,0.48044692737430167,0.4171779141104294,0.4795689416703105,0.041446834068139954,10
0.40467405319213867,0.021915524052918623,0.02553138732910156,0.005066729980152706,8,2,200,"{'model__max_depth': 8, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5164835164835165,0.4235294117647059,0.49142857142857144,0.4858757062146893,0.4074074074074074,0.46494492265977805,0.04200361462963938,12
0.21068053245544432,0.011057518767885249,0.015734004974365234,0.002432613714263265,8,5,100,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5384615384615384,0.4418604651162791,0.4971751412429379,0.5027322404371585,0.43636363636363634,0.4833186043243101,0.03881541546999714,9
0.38556766510009766,0.03262153945593856,0.0230806827545166,0.0016722619693194686,8,5,200,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5303867403314917,0.45348837209302323,0.48863636363636365,0.4745762711864407,0.43902439024390244,0.47722242749824434,0.03157885265960481,11
0.2665840148925781,0.03893151585143099,0.015444707870483399,0.004132731531071481,12,2,100,"{'model__max_depth': 12, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6432160804020101,0.6256410256410256,0.6217616580310881,0.6020408163265306,0.5869565217391305,0.615923220427957,0.019520317999113794,5
0.46683130264282224,0.014709826190243375,0.023203516006469728,0.003853799345114861,12,2,200,"{'model__max_depth': 12, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6534653465346535,0.6073298429319371,0.6358974358974359,0.5989847715736041,0.5913978494623656,0.6174150492799992,0.023492568003493555,4
0.24467897415161133,0.00849513968946251,0.013209009170532226,0.0018928633178923644,12,5,100,"{'model__max_depth': 12, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.6363636363636364,0.5111111111111111,0.59375,0.5492227979274611,0.5714285714285714,0.5723752233661559,0.04205144582072498,7
0.38855581283569335,0.026621366344644737,0.01798863410949707,0.00018940734223682536,12,5,200,"{'model__max_depth': 12, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.6153846153846154,0.5193370165745856,0.6113989637305699,0.5502645502645502,0.547486033519553,0.5687742358947749,0.038024280600356355,8
